Country,Year,Tech Sector,Market Share (%),R&D Investment (in USD),Number of Patents Filed (Annual),Number of Tech Companies,Tech Exports (in USD),Number of Startups,Venture Capital Funding (in USD),Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2016,Telecommunications,27.731614547253006,68231440824.35373,2074,1378,196175234034.46106,401,36454805242.96468,8,75.20289328041885,40.01697498881251,53,Cloud Servers,352959
Japan,2016,Robotics,25.879515618066122,38194475760.80159,4883,1890,31014835734.070732,113,48120920771.58837,3,54.9026876886411,17.50902504600873,105,Cloud Servers,712303
China,2017,Biotechnology,9.929911614312294,3720317431.1258154,3293,1570,51779846578.10603,435,5365876325.703064,5,51.49433427068223,39.98758984316836,82,AI Chips,229870
China,2006,Biotechnology,13.817521421272996,92430845642.98724,1562,669,111195877255.97069,428,34967389664.56983,16,76.25032890663647,68.2222414367047,125,AI Chips,633799
Japan,2006,Telecommunications,20.523370683292384,22390262196.721977,3158,1524,77989420245.85374,222,4266009867.2233324,8,55.17160423805821,22.535609451098555,141,Semiconductors,437651
Japan,2015,Robotics,35.48393660286365,20907603625.565563,7641,501,34088362313.00776,231,41613035291.74816,4,79.49991116842796,77.77684485789888,85,AI Chips,308444
China,2022,Robotics,7.67013812318484,1931439065.13059,5354,1054,49104593540.938225,281,30823835507.944527,8,84.53863484724322,31.620963907647244,93,AI Chips,149005
Japan,2019,Biotechnology,39.40874090521363,84913352462.84952,6172,910,169310367050.81152,265,18035414966.72251,3,85.38435509784503,18.104785636080656,126,AI Chips,325960
China,2006,Cloud Computing,8.338941777824626,27376456440.036724,8796,381,13547477988.745234,72,16582302825.954544,7,43.77912739327006,52.660210823065356,118,Cloud Servers,852316
Japan,2021,Telecommunications,27.779796757531408,53051866084.92024,4211,1519,64324051148.57642,251,42349856826.27834,7,40.13083179157172,22.00913307397336,7,Cloud Servers,724197
Japan,2004,Semiconductor,28.09177825921438,52077530729.62741,599,255,116369826292.59723,200,14917979780.307663,17,49.50319749981124,42.752482920297055,48,AI Chips,620588
Japan,2008,Semiconductor,44.00034838591756,93806812511.62585,5972,297,55687536205.19521,149,29335894016.224873,12,46.05169084395105,22.207410885805807,44,Robots,488972
Japan,2010,Robotics,32.314800335174766,51475007226.29513,9068,980,123005262832.03284,246,34415853002.40722,10,65.31455808154458,74.6276706402876,79,AI Chips,341514
China,2001,Telecommunications,12.910648879371205,31210659571.245415,3756,210,101652987504.48392,90,11404806235.498144,10,43.84174070329586,17.529266609034533,115,Cloud Servers,843345
China,2020,Telecommunications,24.194529882107222,74698447201.47968,1110,338,64861833146.329575,128,10780148071.999128,1,64.52963200636611,24.252281101729558,128,5G Equipment,807921
Japan,2022,Robotics,19.239595554918314,6717665563.682685,4368,1408,23373593253.15054,230,31583008269.538437,1,81.00147207178958,34.517947726855525,43,Cloud Servers,473355
China,2001,Software,5.742966079123044,24164056089.39276,9313,1229,108737645769.84685,409,12391017963.234028,17,52.39680584847756,22.054927132271047,15,5G Equipment,479944
China,2022,Cloud Computing,41.587904776127864,99373898230.41322,606,588,72479979986.47606,486,6941483430.976819,4,54.27973484152831,14.990725539993122,28,Cloud Servers,479884
China,2001,Telecommunications,28.491396617052708,26614942674.92321,5167,377,151057762116.0812,155,29110131183.621716,18,87.50186665146097,36.84784929514413,123,AI Chips,105260
China,2013,Software,18.876379855626105,56633341660.33744,190,838,95261575737.85132,378,26365815065.66565,18,77.04831078543221,62.467952171860155,27,5G Equipment,799080
China,2007,AI,16.32140835579132,1531453056.4464324,3994,602,110363128933.38907,162,30814959635.19924,11,40.716016902181615,66.05370115877241,103,5G Equipment,348599
China,2010,Biotechnology,25.90405427433155,23278431317.907314,6415,602,68099573889.48234,304,4689971411.5419445,4,95.08114259938787,66.28097528864721,52,Semiconductors,100164
Japan,2021,AI,16.353869853352634,85365736017.17778,4399,1698,178474827024.461,193,32891722332.734837,17,49.96914084129801,22.42815519218326,162,Cloud Servers,79380
Japan,2004,Semiconductor,13.282524123364395,41535385363.27202,4857,391,129223524411.1321,78,19665378542.90414,17,94.83545807572774,66.64019535336848,28,Robots,978406
China,2001,Robotics,41.39154734758484,46564680600.693436,8170,1246,111605269964.69789,49,18550574774.441883,6,93.17706937512588,14.921348897925357,146,5G Equipment,3772
Japan,2019,AI,6.5228933617114215,30731512632.45477,411,1202,184158063519.03763,128,29937148624.040855,19,56.38167319698354,74.33002515998834,20,5G Equipment,271405
China,2018,Telecommunications,18.934744521551565,54676888443.6399,3112,529,15067222121.64788,210,4234933774.0002766,6,47.324890655777985,20.898377273941307,19,Semiconductors,670015
Japan,2000,Telecommunications,14.311752422370166,42362040502.96654,5524,427,8218121496.428917,224,34784929769.719185,4,45.150609432384556,80.60703469684948,157,Robots,933739
China,2018,Software,20.023333709330522,29959728253.394066,7349,404,48865455906.91051,18,6626747275.587484,15,74.88092923252142,25.609076460534563,91,Robots,626182
China,2004,AI,15.819489785735524,99453531598.25111,9545,1554,44519890088.01093,234,44810775552.4456,7,62.16029796586197,86.92977134803273,29,AI Chips,297901
China,2002,Biotechnology,46.29034045471528,95217532694.86595,3535,335,27515774918.414265,64,44638374214.35633,18,81.76148855155415,17.484530194260934,58,5G Equipment,703844
China,2019,Robotics,44.60796804736683,20790569457.470165,9631,515,138029107658.61884,241,28903403151.770176,5,78.16676247958935,24.339624131356807,177,5G Equipment,662418
Japan,2005,Software,13.217946125383788,27084801791.096287,8901,1052,90218095398.50296,360,46745942313.691284,7,71.82775290963538,28.277698014427834,115,5G Equipment,901887
Japan,2007,Semiconductor,13.051833279676515,33789723650.96672,2074,117,84863895293.44952,292,31568383299.374535,17,70.68484597727141,29.01964954075605,159,5G Equipment,860711
China,2009,AI,26.67533625031141,91018333979.00159,1469,1210,43332421355.84392,199,15310124513.529057,3,76.93668501389106,33.8710241304279,68,5G Equipment,845366
China,2014,Cloud Computing,34.14964412889891,52112656985.10085,5644,1290,187277091861.00473,336,19086965488.090908,11,92.8350549161629,40.76760732468134,104,5G Equipment,973834
China,2001,Semiconductor,22.389717566963327,15603068167.650635,3959,342,37733163761.375565,270,837322920.5383722,19,60.876995379773746,86.09316572879551,155,5G Equipment,401399
Japan,2017,Software,25.334584146423296,9809897878.379145,4288,865,149259433085.7074,346,27125225981.46129,4,71.39218881544137,59.12513635188474,80,Cloud Servers,584292
Japan,2014,Cloud Computing,23.10501919527019,29923193619.942913,527,1197,16244842352.705326,235,5226750240.2895155,3,79.51714682291417,68.35340100108164,172,AI Chips,784151
Japan,2015,Telecommunications,24.78014307886197,22226403512.27453,6472,1479,102285756436.54471,265,29453592573.867477,2,46.422158004810576,11.173299198033284,113,Semiconductors,84807
Japan,2003,Telecommunications,38.21576921999478,95788586481.75163,1317,1190,7611634125.970248,365,43516582874.34266,17,99.0840225059653,73.52396425685913,94,5G Equipment,685683
China,2002,AI,39.457571208714896,92644651992.26686,7495,1958,112601719013.25499,21,30656459513.684185,14,47.20145905945445,43.1897449942643,53,Robots,4795
China,2005,Telecommunications,8.495167124030175,2543801838.9367466,8218,827,32868991645.347702,264,40510300460.8325,8,89.76234203772918,41.648180985692036,73,Semiconductors,329099
Japan,2001,Biotechnology,48.01743260787536,33059915967.988434,5347,1208,8102360253.64441,285,15205914106.70788,15,86.29637883263996,34.44329969888403,142,AI Chips,709899
Japan,2001,Cloud Computing,35.671643492683174,91789948007.89342,2906,1367,127716775316.45055,324,9020409286.31185,19,60.0985838076563,28.11840207590455,89,Semiconductors,969944
Japan,2021,Robotics,40.893704375465774,85912834968.33873,4725,1115,143044117918.21646,215,46959218544.36361,7,69.98415540551339,37.617957402981816,121,Robots,827783
Japan,2016,Semiconductor,34.867058272254425,17578665642.59263,7051,533,64601505594.8147,233,33399259159.24391,6,40.81533251536482,52.464771108397215,142,Semiconductors,734120
Japan,2006,Telecommunications,20.93468878337456,98186428019.49405,486,881,99687601692.0279,92,18920651473.084255,2,91.21130252769412,70.90645539509507,27,Robots,556372
Japan,2009,Software,32.366655905292234,1717421385.9848766,8056,1089,194548165889.4762,333,17852691072.651592,2,81.89983078539183,17.735730935508663,155,Semiconductors,208556
Japan,2021,Software,38.55903841610032,94874215850.09969,8492,346,135669247296.93944,286,24041125905.535065,5,78.28951134003654,18.456409478974287,23,Semiconductors,811122
China,2005,Telecommunications,37.90789268151233,12115826820.736568,2985,1622,106607093706.87245,157,19772103250.36317,6,70.88433286448554,67.83491079092184,134,Semiconductors,646728
China,2004,Semiconductor,38.00409550414875,22639138399.77355,4496,1398,47761860182.56875,282,28687461112.716263,7,70.82220262492474,87.12496419292196,114,5G Equipment,172947
Japan,2004,Biotechnology,7.355482815233838,72674778554.40012,8368,62,175074738630.55826,81,45676266450.20401,12,95.83943381903657,36.784537650492666,63,Semiconductors,965212
Japan,2023,Cloud Computing,39.10508849933467,76412873749.51244,1647,400,5102008315.5494175,464,7972328794.592292,18,72.5335302154538,62.36849813900306,62,Cloud Servers,282281
Japan,2017,Biotechnology,29.205533301357693,42483421274.89165,3757,1104,135211181548.71033,237,45552990313.459305,13,88.3323261642768,25.92503022321037,191,5G Equipment,94156
China,2014,Telecommunications,17.61672291323943,19733486544.85187,5920,808,34432361957.19454,318,21079376857.88591,10,73.33257624608271,54.127717368109444,11,Robots,601029
China,2016,Semiconductor,44.37999780465667,73716515590.65694,4873,1628,183434292741.96454,323,19855192655.628395,17,48.864602137313206,23.785745139730423,65,Cloud Servers,558932
China,2005,Cloud Computing,41.008515151105,16843255698.531654,8484,1199,197932209730.63052,228,9554251035.211233,12,96.16980844812073,74.17715844892908,132,Semiconductors,814842
China,2016,Biotechnology,7.471142977168226,44388178408.02365,7258,1839,19530767265.508217,161,16803123155.886452,5,54.095332408641866,56.789242871735,54,Semiconductors,167999
China,2001,Biotechnology,46.15141471528089,42107321451.44814,665,558,96844490560.59082,287,23564043173.959286,16,74.66285340560265,80.95098537014526,52,Cloud Servers,833147
Japan,2000,Semiconductor,36.84728966750801,54278187531.97225,6902,212,96576927386.7662,145,645342095.2610276,12,66.07228767337841,75.54933783104329,76,Cloud Servers,696350
China,2023,Software,24.514197477105167,1758428858.7253199,7903,1503,158751237031.56802,274,7972870874.797823,14,60.4056611712258,41.964997954651714,144,Robots,457868
Japan,2019,Semiconductor,14.672210691616417,48525338225.99716,1591,1368,72424320583.39636,41,32352438355.746258,14,62.38015330023545,61.03125826556273,186,5G Equipment,367341
Japan,2011,AI,23.935894731481582,75008666665.46986,1133,1732,194941673600.32367,67,48915026390.7265,6,47.76189310082257,52.58012265114818,142,Robots,480504
Japan,2016,Robotics,37.784919817260366,58895512747.77268,5812,1239,68988511094.98251,35,17482970502.769585,15,90.99409477912883,31.800428896043034,51,Robots,139673
Japan,2004,Cloud Computing,40.2549098030476,83483940516.79883,143,895,192419623506.53748,228,45641553598.9811,14,71.51126247177181,39.81909301322751,51,Semiconductors,828725
Japan,2009,AI,40.063629733569165,70225443498.77908,5468,173,43587665674.098404,427,29584198725.369347,6,47.27589450374322,68.1166790123196,151,Robots,707121
China,2005,Software,17.45736212158055,78853681695.88284,8734,1404,79026498840.71773,121,23564939903.630005,7,64.9900814076525,34.15409116798201,28,5G Equipment,100042
Japan,2008,Biotechnology,10.420550356896836,93499390682.33945,3904,189,72224548732.10707,326,16745394601.832748,16,90.29394715491833,54.766339807065485,151,Cloud Servers,407021
Japan,2012,Telecommunications,41.93850425890188,25281452684.775795,8043,1677,67897580582.67599,334,8378442430.487603,8,54.02253496401708,50.201323270479115,91,Cloud Servers,113728
China,2008,Telecommunications,36.238319346586515,54922005143.290634,1067,446,153947375152.36414,31,18152063247.721035,3,55.31697640623179,78.16547439976671,131,AI Chips,2568
China,2003,Telecommunications,45.68807386783139,22472536955.836525,4822,855,2188517429.4690747,337,5999211404.879254,5,82.87680735192191,75.05080645554796,154,Cloud Servers,223391
Japan,2000,Robotics,32.182489976097585,94197018833.16167,6289,1373,187687449291.10324,98,9135140857.503242,4,48.259621622858276,52.08705967223018,43,Cloud Servers,958282
China,2009,AI,31.463945315255277,1821094913.668847,9046,1780,76392725458.68773,456,37047123643.54813,9,64.45150173801498,46.925997499931704,42,5G Equipment,454410
Japan,2001,Semiconductor,43.910592308231635,67617750708.11415,2608,69,25651359376.98068,499,42019280268.569916,17,69.41228750771621,49.638753702626374,114,Cloud Servers,838577
China,2000,Software,7.272968618988559,15842139643.883512,8255,60,22586075726.59162,276,36023403845.330124,18,99.48315861194841,27.817749137394514,192,AI Chips,373472
Japan,2023,Robotics,21.740074599091173,76724243497.8643,8088,954,47919988068.875755,78,34667750033.16319,3,95.87102145528188,11.465099226282893,73,AI Chips,380918
Japan,2007,Cloud Computing,45.024919731050126,58311880144.21236,863,327,59448644553.33806,261,14252690138.87558,9,95.1489516336861,58.65612250617136,105,Semiconductors,61593
Japan,2015,Telecommunications,35.744588362243164,8455467852.997068,6001,249,123330390644.26355,101,2613693570.698175,3,66.9892933034657,64.37942213300882,35,Robots,119307
China,2020,Semiconductor,40.5740735760807,2276374328.0966244,4199,699,65451087396.20172,189,13099513233.392632,11,58.240888778638364,76.51536136258072,149,Robots,98321
Japan,2007,Robotics,9.883729623320775,31036370891.998653,1175,838,53953172993.10276,93,31698256501.827164,8,95.72815073328881,65.88427440331162,163,Robots,59000
Japan,2020,Semiconductor,43.875001053843114,25124314205.848595,9295,1173,133843019095.07256,44,43093599196.84128,3,45.77678720727696,87.54183610860605,142,Semiconductors,638438
Japan,2013,Cloud Computing,26.591481001008,47454121436.05247,1533,1486,191762367432.5819,311,26258324083.90991,13,47.78266227298816,68.32987787186607,170,Semiconductors,891510
China,2015,Cloud Computing,16.165569369659703,64300562925.055984,8551,1819,152025580138.5921,386,6445368667.686593,6,89.85027332834102,62.50807880628904,1,Robots,567576
Japan,2016,Biotechnology,24.696664540145708,49773632037.82315,5422,1451,4047200830.382314,166,24719828201.871994,16,41.548833714228685,44.12326896798739,98,Robots,358015
Japan,2019,Biotechnology,33.63278179390949,25208449353.408344,6770,316,194402142635.42578,86,12737967798.110306,14,61.15136988884862,88.43831943384777,82,5G Equipment,891732
China,2008,Biotechnology,30.60370932943645,81378217835.75916,8198,836,116887281007.21156,336,35631795282.5233,7,66.12811427868651,42.47853710992472,110,AI Chips,50448
Japan,2022,Cloud Computing,44.270836737507125,17649251757.79415,3131,360,148743323628.94516,21,33100410181.851475,15,69.65585536722887,24.775881958469704,179,Cloud Servers,921783
Japan,2020,Cloud Computing,10.386549576588362,57734823622.3248,3965,592,34022468718.293404,127,24556594991.238327,18,84.68817619749333,13.097288008571644,53,Cloud Servers,221966
China,2011,Robotics,5.072002475775312,84014868640.72977,9439,1153,60327004884.56278,222,46670941300.68419,14,86.53194565575731,47.07644354097246,51,Robots,418715
Japan,2009,Biotechnology,21.69328447646268,75791105962.373,3064,280,158689000639.05264,96,41088179564.33568,19,68.07966430326552,87.51750091913917,155,Cloud Servers,994715
China,2014,Software,48.44024849461591,45976187237.10269,1002,1567,146973479118.3669,120,46539903826.9953,8,80.40217367972451,52.886745291141935,113,Cloud Servers,318685
China,2017,Semiconductor,30.76550810098828,26752346740.522747,1326,1318,186577553100.97025,218,5545860154.723044,11,43.81676062226862,47.38604756436746,21,5G Equipment,690861
Japan,2015,Cloud Computing,43.2781421937499,17970067026.483665,6705,502,22629652322.530098,389,21777875244.29076,9,61.56992702318905,12.135186725252645,124,Cloud Servers,764226
Japan,2012,Software,44.24580338903123,54668254146.33947,3680,1382,167452592413.9127,356,33434855440.9972,3,57.262230265385156,43.00495119100197,56,AI Chips,263705
Japan,2004,Telecommunications,26.698004095676463,2149459331.0257483,7509,608,172368265788.89923,337,33943062369.396175,8,45.88977247644641,54.50108465717787,55,Cloud Servers,730675
Japan,2016,Telecommunications,42.18744114261268,87822577670.5461,9212,451,163925486214.04153,497,10987153492.07334,3,48.09988537873643,32.21946523169389,160,Robots,431428
Japan,2012,Robotics,13.769782326593306,49592803516.86969,7049,744,178346271299.60147,266,2054527465.4300973,4,58.03189275798308,50.39511161540531,108,5G Equipment,702161
Japan,2013,Biotechnology,13.871655501729354,38890423896.99362,3001,231,23254064065.96588,131,21351021999.290607,13,59.04373450379618,40.47289965470586,135,AI Chips,837662
China,2011,Robotics,13.76464833855453,83332803739.72107,9331,943,155755706552.10883,197,44908418075.84252,3,94.30195735464955,30.777202428574768,163,Cloud Servers,669738
Japan,2008,Robotics,46.62486673376781,60680116761.987564,9626,1195,88711024149.2174,58,41287123624.027115,16,76.73460110110689,67.12239926787821,147,Robots,587346
Japan,2022,Telecommunications,8.954018414831799,61019178001.025345,4192,1928,35136835749.149704,435,36264901764.987495,11,84.3431383872146,41.22268148441273,198,Semiconductors,336663
Japan,2018,Software,31.185364741440665,71196016467.86298,214,498,1464441724.9218705,467,33925340678.775337,5,91.68779677209383,10.084834334743338,79,Robots,112685
China,2007,Robotics,10.341970095715956,92250843816.42198,6048,1933,144072339419.93448,207,8291463276.428322,8,70.41758626778484,36.58269937585878,85,AI Chips,131656
China,2023,Software,32.88408548285304,83068990808.42679,8250,1592,168864593361.1105,352,39218797469.72488,6,50.40459965035562,30.161233672877017,198,5G Equipment,619242
Japan,2007,Semiconductor,34.83963175613614,35664493465.42037,4153,410,25827993538.37904,179,6378181944.180357,10,66.03042524766423,48.56168104332543,192,Semiconductors,707392
China,2001,Biotechnology,41.23058432264748,76408410459.03735,4866,1350,60178376355.00726,206,334051955.10546094,17,52.20696033899846,50.13244394312053,53,Robots,688941
Japan,2014,Biotechnology,29.456997708183962,63905561120.21297,239,637,128151460572.37077,84,17128688914.57538,3,94.0774347963209,38.14091969685297,182,5G Equipment,569614
Japan,2015,AI,43.87573267342293,26963748659.173286,9172,1786,144839624838.36554,491,47206669821.67912,18,75.87569121786973,33.158651542415,195,Robots,906543
Japan,2015,AI,12.418236344815739,85970470977.15642,8780,373,45745404756.19541,471,46619231653.53242,8,42.64475736382473,55.347423369044044,166,5G Equipment,122400
Japan,2002,Semiconductor,42.02956350301883,76425889697.60895,7148,1427,183958267852.37708,367,47704827222.85039,5,78.73208382601192,68.76409425400708,190,AI Chips,708199
Japan,2000,Semiconductor,9.33556640664349,24024460339.14371,2698,231,15604974969.039116,227,21278839023.061024,18,42.94747666135198,67.11463635495586,104,AI Chips,580199
China,2017,Robotics,21.517057581447517,49954110762.777855,7940,1541,173349188102.55743,29,2177006091.964383,15,65.24975382681961,55.693029735976765,84,5G Equipment,68036
China,2016,AI,36.858860913482815,29699622808.337574,7806,503,188974744002.1546,44,19130752573.059544,11,89.08185762753305,63.17325316071246,145,Semiconductors,743345
Japan,2000,Telecommunications,9.738826311888038,18928012155.921078,5224,1170,93401071801.36751,257,29781491061.806576,19,45.471525505811826,51.000033165189095,74,Semiconductors,918618
China,2012,Robotics,31.757365550066588,67527775628.839096,4870,139,79232092602.45923,405,37410129438.01432,11,70.30672477971792,81.75591507769818,106,5G Equipment,58228
Japan,2003,Semiconductor,49.07192300972054,26019808096.753475,3062,1984,147044154240.0078,410,7646586916.732034,6,53.9549066163131,29.044950880819194,93,AI Chips,395938
China,2017,Biotechnology,18.32967331380172,64661783099.71245,4286,753,41082031274.55033,244,2958242985.002555,16,74.78969759828819,11.243414457935188,65,5G Equipment,683619
China,2015,Biotechnology,9.189474480202982,80603786598.17223,9837,832,107647678728.57143,452,31852560804.391586,15,56.40526200754421,73.65103624095184,191,Cloud Servers,427446
Japan,2009,Biotechnology,22.17284835569003,96119791483.25456,8962,1080,36071163741.85492,68,15939437493.082794,7,85.38186709060723,58.251824542392285,186,Robots,947829
China,2010,Software,36.41697655349939,65508262164.30218,6981,626,199559292167.8358,244,6412824578.636199,15,87.0317420665807,70.64533671405547,189,Semiconductors,674904
Japan,2013,Semiconductor,27.13904704077791,9260502319.37492,8783,1023,22590832245.948467,15,49058520824.27802,19,69.11986957104239,79.14644495806921,133,Semiconductors,158745
Japan,2009,Software,46.77123849062431,26774297570.22937,3210,629,143205725632.71368,248,16481461995.724693,13,78.39765927639445,54.87731086792729,8,Semiconductors,132805
China,2003,AI,34.37439758165,68617768783.95847,8524,1720,73881050520.0687,138,36023574920.59873,19,46.21311545243156,16.21000895046229,16,Semiconductors,863673
Japan,2020,Robotics,31.164816261218135,92424253100.22119,4669,796,191932528429.36356,149,39757392948.17884,8,83.10607309425393,46.76814796935591,157,AI Chips,662855
Japan,2013,Semiconductor,24.949277329616766,85980613508.56009,8235,1579,19259981082.231358,243,26640647575.14336,12,68.9665943263551,49.46237490805572,191,Robots,808198
China,2011,Telecommunications,47.34386604410518,50247391270.83181,6010,1601,177698411320.4395,187,23072297899.802742,8,55.89630703178226,10.869841935153666,14,5G Equipment,899053
China,2001,Cloud Computing,11.087364753989247,72688192502.78513,6270,1679,174480610223.84543,113,31309670214.511127,16,68.5180748085532,78.7063568426015,58,Robots,135870
China,2018,Semiconductor,44.94919486594952,49136021075.322044,6714,1444,64373139495.99646,119,9543621119.75696,10,71.10780065446225,64.04692978335078,122,5G Equipment,379485
Japan,2015,Cloud Computing,13.241409685334045,79509559556.41324,4838,1049,195011415591.77594,32,7059506561.6059475,19,49.93700809718473,76.5625216666712,3,Cloud Servers,606422
China,2000,Software,30.399925941454306,60454363793.9493,3435,1843,52809109217.25601,485,33298149987.5966,1,77.71811247773219,64.16285866839286,68,5G Equipment,607220
China,2003,Robotics,26.167767589943168,24559383859.68077,3568,1749,188574894936.825,421,14136356227.809307,11,83.71450776448056,86.1680637290558,14,5G Equipment,252780
China,2012,Semiconductor,13.781214609672976,36438078944.299644,9012,815,46605674133.22811,437,6461736454.543011,17,88.0553279430712,58.35812004896894,27,Semiconductors,92409
Japan,2004,Biotechnology,32.30774404676603,69906244959.07373,407,719,3844545361.040927,161,49735330241.98985,7,98.81901704512867,17.884998846984843,179,Robots,191780
Japan,2014,Telecommunications,24.878983469877124,79055203744.95547,7834,894,42605211683.06189,54,43089913736.681854,7,93.68151071432796,62.68477911809371,187,5G Equipment,42509
Japan,2008,Robotics,48.80892801142816,10974189015.074144,4821,242,95275082481.27887,278,14859163172.089613,11,74.62178312921253,66.64193442740236,25,Semiconductors,176776
Japan,2008,AI,9.380981919324078,3263470863.2896023,1953,1409,144897152506.37534,358,158135654.26496813,13,62.230453958819695,16.968322578613837,31,Cloud Servers,730641
Japan,2013,Cloud Computing,7.06002331427837,7344555768.457415,5798,914,170764546317.64966,222,21361233473.586193,8,64.95695488237487,58.422580252348055,157,AI Chips,762599
Japan,2023,AI,20.885482036559964,81681045367.97414,3710,724,151346568422.43454,12,39796866911.74579,11,46.50486442946728,16.338191598075937,170,Semiconductors,679269
China,2019,Software,33.15074258155413,6840535286.481599,7736,890,135684447201.18214,175,42855640678.88324,6,50.910783793258155,13.286635831742046,155,Robots,722267
Japan,2013,Cloud Computing,43.54206414205899,54862819783.9424,1221,905,17249409016.61257,25,1625180853.9326236,5,45.350026543190154,79.33391460172332,3,Cloud Servers,125663
Japan,2006,Cloud Computing,41.43503616775371,11032812313.750135,2089,1787,150708849592.4122,199,31541206177.535275,1,71.55751685359141,53.535749078062615,125,Robots,28230
China,2023,Software,19.541182106659495,92993619634.46252,3141,267,112178978347.75337,73,25240207188.15609,9,62.44909829170797,82.43376181768045,168,Cloud Servers,769616
China,2001,Biotechnology,17.62803373137354,41060221332.769226,8687,1876,151387578535.9748,465,25410172053.02683,11,92.47431127791941,76.5265890995609,162,Robots,148078
Japan,2000,Cloud Computing,10.785709048713057,22010217486.732914,5730,1947,154057638262.92957,167,20261958350.466442,11,43.28472523043605,34.12410855839515,55,AI Chips,567395
Japan,2013,Robotics,30.01566990494801,86673271779.0944,7967,495,49113599168.09299,459,36810759193.6751,2,86.22370891223055,71.19278920710094,40,Cloud Servers,623953
China,2001,Biotechnology,29.20601645550364,65826348527.0615,4803,492,31452552157.192684,207,47696552801.65492,19,85.14975103478994,34.01822512877767,191,Semiconductors,234181
Japan,2020,Cloud Computing,46.59880696331866,97443890484.72945,2741,735,9802235450.906748,139,18354060378.88573,14,71.88968589644534,65.01799097395718,72,Cloud Servers,174012
Japan,2000,Semiconductor,30.848166959071644,7354359890.686084,609,1293,34153739851.914608,71,312769282.93568593,7,69.78304363409208,10.048098757852504,39,Cloud Servers,336868
China,2020,Robotics,23.085027644739217,53544275607.029564,4585,1958,141591816016.23343,451,27761014063.250523,7,42.321920987276926,55.375294487037216,188,AI Chips,723336
China,2006,Biotechnology,9.506323785379436,9852184691.829653,9167,926,106708841375.74323,118,47184186906.536415,4,69.35282891927423,22.838453348168144,148,Semiconductors,618419
Japan,2015,Cloud Computing,16.539204144502726,1127009322.953207,5210,1342,127352842410.17522,57,6435454440.598857,11,55.35462608992534,87.92282876193309,65,AI Chips,955753
Japan,2009,Telecommunications,11.736565743770996,96987936480.23634,4149,808,3471922627.740548,168,16918026576.159163,15,90.33383643136676,64.1895046707977,108,Cloud Servers,895575
China,2020,Software,29.78852868081768,4266753063.0719895,397,354,129152523806.6429,327,46407008062.28958,6,85.53541988238374,11.398192668033067,48,AI Chips,509981
China,2006,Telecommunications,37.71592934471704,56887244221.29121,4085,1297,86930040726.6645,392,48462692981.79336,18,52.47363073873771,44.163026079490905,108,Robots,843188
China,2019,Semiconductor,19.144486561559948,21110267958.394794,5017,880,92461129635.73154,485,4150321033.7293115,16,50.62317191809934,15.789646189943563,2,Robots,510169
Japan,2007,Software,25.142872442455136,29770901634.041317,6414,1837,195949783379.9986,475,11088252654.092146,15,52.53767332318287,84.22848719869887,67,Semiconductors,348212
China,2001,Cloud Computing,8.681432833552014,52100780180.05153,6005,887,180904691864.4257,87,3614671325.1607823,16,60.549330236187025,83.62051855481542,87,AI Chips,871435
China,2007,Robotics,22.252385742947542,55382270592.132065,440,1711,85761031260.63594,316,26016637362.130516,12,71.06840445082359,34.380446235163234,186,Cloud Servers,165998
China,2012,Semiconductor,6.062416728903458,88794882884.70294,3463,1555,25403813690.296997,38,9907297939.640223,13,95.70360457831333,59.43246360294101,14,Robots,67899
China,2013,Robotics,14.924218500530134,69603879176.38437,210,904,195877598712.34818,303,32569747305.959007,3,99.89356142344832,50.03582968113172,165,5G Equipment,720707
Japan,2007,Biotechnology,42.92033500163239,96382877110.79688,9397,849,95881140206.72926,279,46737418731.96801,6,72.13518560318951,36.14464599861924,97,Cloud Servers,694893
China,2017,Robotics,33.24596809454118,10611193483.44485,6941,1659,75612918787.93346,21,5677513001.924644,17,73.62663701625402,15.319758307284035,104,Cloud Servers,933787
Japan,2023,Software,43.89059068574155,2113739838.8202596,5514,196,104044785988.24979,45,44438780109.62116,14,63.4429100622394,75.15948310466442,1,Robots,724120
China,2003,AI,34.22270666436413,68995825316.34071,9302,250,88555127002.70383,327,28737341920.77796,6,52.17482100043864,56.940947957182,174,Robots,15088
Japan,2022,Software,43.25442937295139,30376109762.228695,2527,425,154172887610.50034,39,13609909990.564718,4,44.40486638921329,48.56407379834675,92,Semiconductors,337953
China,2005,Software,11.864559486557535,76916514511.53839,2176,658,164587824650.9187,287,35409229381.17454,2,56.16942646437302,56.74785582292518,166,Semiconductors,410525
Japan,2014,Robotics,10.151293482052187,58770483413.41814,9302,1438,137842627845.83093,335,30682656206.98115,18,70.20927188786669,47.865655358724865,121,Robots,53403
China,2018,AI,25.46351466377233,99697693179.88365,5405,1885,82115882892.43446,415,37015828152.18725,3,85.82233355152192,79.42442801030388,154,AI Chips,197981
Japan,2008,Cloud Computing,23.46502981821283,25846185795.655937,341,1801,111977745250.51682,140,11298756055.723167,16,52.12698831874845,79.74557454620012,43,5G Equipment,522258
Japan,2007,Software,46.573940176687756,83554905083.43124,4064,1143,164214843559.3465,307,37503405089.27985,2,43.43303438922628,80.11916113535403,93,Semiconductors,852378
